# CONSTRUCTED INPUT, NOT A CAPTURE. No EC was read to make this file; every
# byte and timestamp below was written by hand. See ../README.md.
# Shape: the 0x0700-0x07FF third of the two-value day §3's command block
# prints, with all six of its mark rounds in each block -- `settled`, the
# no-op control arm, `held`, the write under test, `watch over`, and the
# restore -- and the three stage boundaries carrying no 0x0751= value. Twelve
# marks over two blocks, every mark in all three captures and spelled the same
# way in all of them, so `Block.roles` reads
# `settle, control, hold, write, watch, restore` and `--block` has six windows
# to select rather than three.
#
# The 0x075B row at 12:02:00 is inside the write window and the one at
# 12:03:00 is not, and the mark between them is `watch over`. That is the
# whole point of the boundary: a window runs from one mark to the next, so
# without that mark the second row would sit in the write's window and the
# restore's own write would land in the same bracket as the ~60 s observation
# §4.4 compares. Merge the two windows here and 0x075B reads `0x68 -> 0x6D`,
# three changes, where the two windows apart they read `0x68 -> 0x6B` and
# `0x6B -> 0x6D`.
#
# Block 2's control arm writes 0x00 back, the value block 1's restore left
# behind, so the day reads as one session without a row invented for a mode
# the two blocks do not use. The duty bytes drift throughout and nothing
# §4.1-§4.3 names moves at all, as in ../../0751-isolation-run/. It is not a
# prediction that a re-run produces this, nor that a day holds two values.
ts,addr,old,new
2026-01-01T12:00:04.000+01:00,0x0796,0x2F,0x30
2026-01-01T12:00:10.000+01:00,MARK,,settled
2026-01-01T12:00:12.400+01:00,0x075B,0x64,0x66
2026-01-01T12:00:40.000+01:00,MARK,,no-op wrote 0x0751=0x10
2026-01-01T12:00:42.750+01:00,0x075B,0x66,0x67
2026-01-01T12:00:55.000+01:00,0x075C,0x50,0x51
2026-01-01T12:01:10.000+01:00,MARK,,held
2026-01-01T12:01:12.000+01:00,0x075B,0x67,0x68
2026-01-01T12:01:40.000+01:00,MARK,,wrote 0x0751=0xA0
2026-01-01T12:01:40.600+01:00,0x0751,0x10,0xA0
2026-01-01T12:01:42.750+01:00,0x075B,0x68,0x69
2026-01-01T12:02:00.000+01:00,0x075B,0x69,0x6B
2026-01-01T12:02:10.000+01:00,0x075C,0x51,0x52
2026-01-01T12:02:40.000+01:00,MARK,,watch over
2026-01-01T12:03:00.000+01:00,0x075B,0x6B,0x6D
2026-01-01T12:03:10.000+01:00,MARK,,restored 0x0751=0x10
2026-01-01T12:03:10.500+01:00,0x0751,0xA0,0x10
2026-01-01T12:03:12.000+01:00,0x075B,0x6D,0x6E
2026-01-01T12:05:10.000+01:00,MARK,,settled
2026-01-01T12:05:12.000+01:00,0x075B,0x6E,0x70
2026-01-01T12:05:40.000+01:00,MARK,,no-op wrote 0x0751=0x00
2026-01-01T12:05:42.750+01:00,0x075B,0x70,0x71
2026-01-01T12:05:55.000+01:00,0x075C,0x52,0x53
2026-01-01T12:06:10.000+01:00,MARK,,held
2026-01-01T12:06:12.000+01:00,0x075B,0x71,0x72
2026-01-01T12:06:40.000+01:00,MARK,,wrote 0x0751=0x10
2026-01-01T12:06:40.600+01:00,0x0751,0x00,0x10
2026-01-01T12:06:42.750+01:00,0x075B,0x72,0x73
2026-01-01T12:07:00.000+01:00,0x075B,0x73,0x75
2026-01-01T12:07:10.000+01:00,0x075C,0x53,0x54
2026-01-01T12:07:40.000+01:00,MARK,,watch over
2026-01-01T12:08:00.000+01:00,0x075B,0x75,0x77
2026-01-01T12:08:10.000+01:00,MARK,,restored 0x0751=0x00
2026-01-01T12:08:10.500+01:00,0x0751,0x10,0x00
2026-01-01T12:08:12.000+01:00,0x075B,0x77,0x78
