# CONSTRUCTED INPUT, NOT A CAPTURE. No EC was read to make this file; every
# byte and timestamp below was written by hand. See ../README.md.
# Shape: ../../0751-isolation-run-unplaced-window/ byte for byte, with the
# first block-less restore relabelled to 'restored it somehow' in all three
# captures. A `restore` typed when no block was open is one of §3's three
# leftovers: no block opened it, so there is no integrity check to hold it to,
# and --block cannot select it. That is the 12:04 mark, whose label still
# parses and which is graded. The 12:00 one is a leftover too, and is
# refused for the other reason: a label the parse cannot read is a label the
# tool cannot say what a window is a window of, so it declines the window
# rather than filing it under an arm it cannot name.
#
# Both blocks are intact and every mark is in all three captures, so this set
# withholds exactly one window and grades the other seven -- including the
# other window in no block. It is here because the summary sentence that
# follows a withheld run had to hold for both reasons a window is withheld,
# and only the mark-set one was covered: a window refused for an unreadable
# label is in no block at all, so a closing sentence about a *block* this
# report refused to read is a §7 fact the same run denies in its census.
# Naming the window, and saying the output cannot say whether it sits in a
# block, is what both paths support.
#
# The duty byte drifts throughout and nothing §4.1-§4.3 names moves at all, as
# in ../../0751-isolation-run/. It is not a prediction that a re-run produces
# this, nor that a day holds two values, nor that a mark is ever mistyped.
ts,addr,old,new
2026-01-01T12:00:02.000+01:00,MARK,,restored it somehow
2026-01-01T12:00:04.000+01:00,0x0796,0x2F,0x30
2026-01-01T12:00:10.000+01:00,MARK,,no-op wrote 0x0751=0x10
2026-01-01T12:00:12.400+01:00,0x075B,0x64,0x66
2026-01-01T12:00:25.000+01:00,0x075B,0x66,0x67
2026-01-01T12:00:40.000+01:00,MARK,,wrote 0x0751=0xA0
2026-01-01T12:00:40.600+01:00,0x0751,0x10,0xA0
2026-01-01T12:00:42.750+01:00,0x075B,0x67,0x69
2026-01-01T12:00:55.000+01:00,0x075C,0x50,0x51
2026-01-01T12:01:10.000+01:00,MARK,,restored 0x0751=0x10
2026-01-01T12:01:10.500+01:00,0x0751,0xA0,0x10
2026-01-01T12:01:12.000+01:00,0x075B,0x69,0x6A
2026-01-01T12:04:00.000+01:00,MARK,,restored 0x0751=0x99
2026-01-01T12:05:10.000+01:00,MARK,,no-op wrote 0x0751=0x00
2026-01-01T12:05:14.000+01:00,0x075B,0x6A,0x6C
2026-01-01T12:05:42.000+01:00,0x075B,0x6C,0x6D
2026-01-01T12:05:55.000+01:00,0x075C,0x51,0x52
2026-01-01T12:06:10.000+01:00,MARK,,wrote 0x0751=0x10
2026-01-01T12:06:10.600+01:00,0x0751,0x00,0x10
2026-01-01T12:06:12.750+01:00,0x075B,0x6D,0x6F
2026-01-01T12:06:40.000+01:00,MARK,,restored 0x0751=0x00
2026-01-01T12:06:40.500+01:00,0x0751,0x10,0x00
2026-01-01T12:06:42.000+01:00,0x075B,0x6F,0x70
