cluster_key,cluster_name,note
k5be7031564f8,mode-oem-init,"xdata-register-map.md 5 calls it ""the mode/OEM initialisation set""; the shared functions are fill_08xx_from_code_table, apply_oem_overrides_then_fill_08xx and mode_tick_084c_07a5_09ee. Named for that reading, not for the 29 addresses the symbol table happens to put inside it."
k2d9004f7707b,level-block-086x,"xdata-086x-dispatch.md opens on ""the 0x0860-0x086E run in main-EC cluster main-ec-002"". Note 0x06E6 is *not* a member: xdata-register-map.md 5's ""0x06E6/0x0860 gate block"" describes the shared function gate_06e6_442_then_sync_046a_from_086b, and 0x06E6 itself is elsewhere in the census."
k733222e83898,counter-sweep,"xdata-06c2-06db-timers.md reads this cluster as the 0x06C2-0x06DB counter sweep at bank1:0x8001-0x8189, 43 addresses and 4965 references. The 4965 are 93% the same 393 bytes counted 42 times over (that file 2a), so the name is for the block, not for a reference count."
kea0c67af9b51,ff-fill-stubs,"xdata-register-map.md 5: ""three ff_filler_not_a_function_*, the fill stub block"". Twelve addresses over 0x0045-0x1504; a name for the shape, since none of them is a register with a purpose."
k76e75f349ea7,user-clear-bytes,"manual-fan-ctrl-0751.md: six of these ten are the seven 0x0751 USER-block bytes (0x089E 0x089F 0x08A2 0x08EB 0x09E6 0x09E7), and the shared functions are the two routines that clear them bit by bit. Nothing here was read back; see that file's What this section does not say."
k3fdd14ddea2e,page-0300,"xdata-register-map.md 5: ""zero_0300_03ff_then_set_3fe_3a8_3fb, scan_table_03de_down_stride2 -- the 0x0300 page"". Contiguity is never merged into a cluster (xdata_register_map.py span_groups), so the page is the name and not the reason for the membership."
kb07a0f522a7d,flag-pair-0442,"Two addresses, 0x0442 and 0x0801. registers.yaml's XDATA_0442 entry records eleven sites, six reads and five read-modify-writes, clustering in clear_and_set_xdata_flag_bits and zero_1510_and_clear_xdata_flag_bits, and says ""flag-byte shape, which is not a name"". This is the name for the pair, taken from that shape."
kebb1f590f488,countdown-06c6,"Two addresses, 0x0443 and 0x06C6. xdata-06c2-06db-timers.md 3 records that the clustering put 0x06C6 here and 7 of its references on its own row, and that this file used to name main-ec-118 for it (issue #253). 0x0443 is the four-state stepper in the same pair, dec_0443_low3_unless_0440_5_6_7."
k801a3e80698f,countdown-06cd,"One address, 0x06CD, 26 references. xdata-06c2-06db-timers.md 3: the second of the two countdowns the clustering cut away from main-ec-003, and the one whose reload is the most legible in the block. A size-1 cluster, so the name is a label and not a description of a co-occurrence."
kb787f7579eab,fan-step-08a0,"One address, 0x08A0, six references. registers.yaml: two main-EC sites, both inside the 0x0751 USER block, where 0xB7E8 increments it and 0xB7F0 tests it against 0x0A with carry-in included. manual-fan-ctrl-0751.md records it as a size-1 cluster of its own. Nothing was read back, so ""fan-step"" names what the code does with the byte, not what the byte is."
