runtime,region,containing_function,test,constant,equal_path_effect,notequal_path_effect,co_gate_06e6,evidence
0x1BC1,common,FUN_CODE_1ba4,zero,0x00,"jump to 0x1BED, past the 0x074E/0x0A54 range test and the 0x0A56 toggle","test 0x074E bit 4 and 0x0A54 against 0xAD/0xB8, then reach 0x1BE0",no,ec/decompiled/common/1BA4.c
0x1BE0,common,FUN_CODE_1ba4,zero,0x00,"jump to 0x1BED, leaving 0x0A56 as it was","0x0A56 ^= 1, then return 0x0A56 in A",no,ec/decompiled/common/1BA4.c
0x3DA8,common,FUN_CODE_3da8,zero,0x00,"clear internal-RAM bit 0x20.4 (the unresolved Ghidra symbol _0_4), then clear bit 0 of 0xB2","write 0x14 to 0x007E, then clear bit 0 of 0xB2",no,ec/decompiled/common/3DA8.c
0x87F5,bank0,mode_tick_084c_07a5_09ee,zero,0x00,"jump to 0x886C, past the CPU_TEMP/GPU_TEMP comparison that drives 0x07A5 bit 3","require 0x06E6 == 1, then compare 0x043E against 0x5F and 0x044F against 0x57 and set or clear 0x07A5 bit 3","yes (0xB9D8 = 0x06E6 ^ 1, tested at 0x87FB)",ec/decompiled/bank0/8749.c
0x8C9D,bank0,ramp_1804_1809_toward_0461_0469,zero,0x00,write 0xA0 to 0x0670 (the ramp floor seed),leave 0x0670 alone and fall into the 0x07C5/0x0741/0x07C6/0x070A gate chain,no,ec/decompiled/bank0/8C46.c
0x8F7C,bank0,state_0817_dispatch,zero,0x00,"write 0x00 to 0x081E and 0x28 to 0x081F, then set 0x0817 to 1",skip both stores and set 0x0817 to 1 directly,no,ec/decompiled/bank0/8F20.c
0x933B,bank0,seed_tcc_defaults_from_ba36,zero,0x00,clear 0x098C and return,"continue: copy 0x098C to 0x0A4A, pick the 0x0A47/0x0A48 pair, and seed MODE_TCC_OFFSET_DEFAULTS at 0x07D8-0x07DA","yes (cjne a,#0x01 at 0x9334)",ec/decompiled/bank0/9334.c
0x9D05,bank0,gate_06e6_442_then_sync_046a_from_086b,zero,0x00,"ljmp 0x9D9A, a bare ret","lcall 0x9D9B, then sync 0x046A/0x046B/0x046E/0x046F from 0x086B-0x086E",yes (the routine entry at 0x9CA6),ec/decompiled/bank0/9CA6.c
0xAAE5,bank0,advance_0d14_state,zero,0x00,"sjmp 0xAB5C, past the state machine","enter it: test 0x0D14 against 0xF0 and 0x18, call 0xC31F, store 0xFE to 0x0D14",no,ec/decompiled/bank0/AAC6.c
0xABA5,bank0,set_0751_and_07a6_bits,zero,0x00,"jump to 0xAC07, skipping the fan-mode arm entirely","require 0x06E6 == 1 and 0xC1CB to return 1, then MANUAL_FAN_CTRL (0x0751) ^= 0x40 and return",yes (read_06e6_xor_01 in the same arm),ec/decompiled/bank0/AB9E.c
0xAC0F,bank0,dispatch_on_0751_bits,zero,0x00,"sjmp 0xAC37, past the 0x1606 bit-3 decision",set or clear 0x1606 bit 3 from 0x0751 bit 4 and BIOS_INFO_3 bit 1,yes (the routine opens on 0x06E6 == 0x01),ec/decompiled/bank0/AC08.c
0xB065,bank0,ten_count_gate_then_set_1300_and_200f,zero,0x00,jump to 0xB0D7 and clear direct byte 0xBD,"require 0x06DB non-zero, 0x06E6 == 1, 0x047E == 0xEC and 0x06DB < 5, then run the ten-count gate on 0x1304","yes (cjne a,#0x01 at 0xB075)",ec/decompiled/bank0/B065.c
0xB0E1,bank0,sync_0983_bit5_against_support_2_bit4,zero,0x00,jump to 0xB111,"require 0x06E6 == 1, then flip 0x0983 bit 5 when 0x0766 bit 4 and SUPPORT_2 bit 4 disagree","yes (read_06e6_xor_01, the routine's first statement)",ec/decompiled/bank0/B0DC.c
0xB395,bank0,step_1802_toward_bf12_limited_by_09cd,zero,0x00,jump to 0xB3D9,"call 0xC468/0xC016/0xBF12, store the result to 0x1802, set 0x0984 bit 0, and step 0x1802 toward 0x09CD",no,ec/decompiled/bank0/B38E.c
0xC703,bank0,,zero,0x00,ret -- a complete 14-byte stub ending here,"MANUAL_FAN_CTRL (0x0751) ^= 0x40, then ret",no,ec/firmware/GMxMGxx_11.800 --at 0x0C703 --runtime 0xC703
0xC71A,bank0,,zero,0x00,jump to the ret at 0xC760,"test AP_OEM (0x0741) bit 0: set, tail-jump to 0xA73F with R7=0xB0; clear, call 0xCA4C and act on bit 7 of its return",no,ec/firmware/GMxMGxx_11.800 --at 0x0C71A --runtime 0xC71A
0x8088,bank1,dec_06c3_and_dec_06d8_gated_on_0440,zero,0x00,skip the 0x06D8 decrement,"if 0x06D8 is non-zero, decrement it",no,ec/decompiled/bank1/807E.c
0x80EC,bank1,clear_0460_0468_when_0706_reaches_zero,zero,0x00,skip the 0x085B decrement,"if 0x085B is non-zero, decrement it",no,ec/decompiled/bank1/80D6.c
0x8153,bank1,dec_timers_and_set_expiry_flags,zero,0x00,skip the 0x06DB decrement,"if 0x06DB is non-zero, decrement it",no,ec/decompiled/bank1/80EF.c
0x8328,bank1,clear_and_set_xdata_flag_bits,enum,0x07,"clear bit 1 of 0x097A and bit 1 of 0x0720, then ret",ret immediately -- the flag work ahead of this site has already run and the rest is skipped,no,ec/decompiled/bank1/8300.c
0x88F0,bank1,push_r5_into_070f_ring_when_gates_pass,zero,0x00,ret at 0x8914 -- the ring push does not happen,"require 0x06E6 == 1, then push R5 into the 16-entry ring at 0x0710-0x071F indexed by 0x070F & 0x0F and call 0x19EA","yes (cjne a,#0x01 at 0x88FA)",ec/decompiled/bank1/88F0.c
0x891C,bank1,saturating_count_09f0_then_call_88f0,zero,0x00,"jump to 0x8954, past the counter","run the 0x09F0 saturating count and the 0x09F1-indexed table walk, then push R5=0x53 into the ring",yes (the routine opens on 0x06E6 == 0x01),ec/decompiled/bank1/8915.c
0x8971,bank1,gate_06e6_0440_then_call_89b5,zero,0x00,ret at 0x897A,lcall 0x89B5 with R7,yes (0x896A tests 0x06E6 == 0x01 first),ec/decompiled/bank1/896A.c
0x8FD8,bank1,FUN_CODE_8f6b,zero,0x00,jump to 0x8FF9,"set 0x06E1 bit 3, push R5=0x19 into the ring when 0x07A4 bit 0 is clear, then set 0x06E1 bit 2","no (0x06E6 is read later at 0x901B, not as this gate)",ec/decompiled/bank1/8F6B.c
0x9046,bank1,update_06cf_countdown_and_06e1_bits,zero,0x00,lcall 0x19F6,"set 0x06E1 bit 4, push R5=0x16 into the ring, then clear 0x06E1 bit 2","no (0x06E6 is read earlier at 0x901B, not as this gate)",ec/decompiled/bank1/9008.c
0x9675,bank1,step_06fd_06fe_06ff_counters_via_1a32,zero,0x00,clear 0x06FD and fall through the 0x06FE/0x06FF cascade behind it,"with 0x06C2 == 0, walk 0x06FD/0x06FE/0x06FF and dispatch on the lowest bit that is still clear",no,ec/decompiled/bank1/966C.c
0x97F8,bank1,clear_0480_bit0_then_step_05f1_countdown,zero,0x00,ret at 0x9816,"store 0x0A to 0x06D8 and 0x070B, 0x14 to 0x044C and 0x00 to 0x0841","no (the 0x06E6 test at 0x97D1 branches to 0x97F2, not here)",ec/decompiled/bank1/976E.c
0xA12D,bank1,set_0724_bit7_after_06c5_threshold,enum,0x08,"ljmp 0xA1BE, a bare ret -- the routine stops before its 0x045A test",continue to the 0x045A bit-0 test and the 0x067D/0x0724/0x097A/0x0720/0x07F6 writes,no,ec/decompiled/bank1/A12D.c
0xA2F3,bank1,dispatch_0974_low_nibble,zero,0x00,dispatch on 0x0974 & 0x0F through the jump table at 0xA309,"ljmp 0xA380 -- one path, not the four-way table",no,ec/decompiled/bank1/A2F3.c
0xA921,bank1,clamp_078b_level_into_0804,zero,0x00,"ljmp 0xA9B3, the return stub","require 0x080D == 0 and 0x0442 bit 4 clear, then clamp 0x078B into 0x0804",no,ec/decompiled/bank1/A916.c
0xC62A,bank1,gate_0755_and_0440_dispatch,zero,0x00,ret at 0xC646,"require 0x070D == 0, then gate_0709b0_into_045b_branch()",no,ec/decompiled/bank1/C614.c
0xF154,bank1,if_0440_nonzero_call_88f0_0a,zero,0x00,ret,"mov r5,#0x0A then lcall 0x88F0 -- push event 0x0A into the ring",no (the callee 0x88F0 gates on 0x06E6 == 1),ec/decompiled/bank1/F154.c
0xF167,bank1,toggle_045b_bit0_set_0709_bit0,zero,0x00,jump to 0xF181,"with 0x070D == 0, 0x045B ^= 1 and set bit 0 of 0x0709",yes (the routine entry at 0xF160),ec/decompiled/bank1/F160.c
0xF18A,bank1,if_0440_nonzero_call_88f0_0c,zero,0x00,ret,"mov r5,#0x0C then lcall 0x88F0 -- push event 0x0C into the ring",no (the callee 0x88F0 gates on 0x06E6 == 1),ec/decompiled/bank1/F18A.c
0xF198,bank1,gate_045a_e0_bits_into_047b_0720_097a,zero,0x00,ret at 0xF1F4,"with 0x07F6 == 0, OR the top three bits of 0x045A into 0x0720/0x097A/0x047B and push R5 = 0xA4, 0x1A or 0x1B",no,ec/decompiled/bank1/F198.c
0xF220,bank1,set_0636_0a_toggle_047b_02_set_097a_02,zero,0x00,jump to 0xF242,"with 0x0636 == 0, store 0x0A to 0x0636, 0x047B ^= 0x02, set 0x097A bit 1 and push R5 = 0x0F",yes (the routine entry at 0xF219),ec/decompiled/bank1/F219.c
0xF24D,bank1,if_045a_bit4_set_toggle_047b_10_set_0637_0a,zero,0x00,jump to 0xF271,"with 0x045A bit 4 set and 0x0637 == 0, store 0x0A to 0x0637 and 0x047B ^= 0x10",yes (the routine entry at 0xF246),ec/decompiled/bank1/F246.c
0xF275,bank1,set_06ff_80_else_toggle_0471_80,zero,0x00,0x0471 ^= 0x80,set 0x06FF bit 7 and call gate_06e6_0440_then_call_89b5 with R7 = 0x35,no (the callee 0x896A gates on 0x06E6 == 1),ec/decompiled/bank1/F275.c
0xF2D5,bank1,dec_0443_low3_unless_0440_5_6_7,enum,0x05,sjmp 0xF2F2 -- the 0x0443 low-three decrement is skipped,"cjne against 0x06 and then 0x07: any of 5, 6, 7 skips, and only 0, 1-4 or 8+ reaches the decrement",no,ec/decompiled/bank1/F2CA.c
0xF2FE,bank1,inc_0443_low3_unless_0440_5_6_7,enum,0x05,sjmp 0xF31E -- the 0x0443 low-three increment is skipped,"cjne against 0x06 and then 0x07: any of 5, 6, 7 skips, and only 0, 1-4 or 8+ reaches the increment",no,ec/decompiled/bank1/F2F3.c
0xF326,bank1,,zero,0x00,ret at 0xF333,set bit 3 of 0x06FF,"yes (cjne a,#0x01 at 0xF323, the stub's own first test)",ec/firmware/GMxMGxx_11.800 --at 0x17326 --runtime 0xF326
0xF33B,bank1,,zero,0x00,ret at 0xF348,set bit 2 of 0x06FF,"yes (cjne a,#0x01 at 0xF338, the stub's own first test)",ec/firmware/GMxMGxx_11.800 --at 0x1733B --runtime 0xF33B
0xF350,bank1,,zero,0x00,ret at 0xF35D,set bit 1 of 0x06FF,"yes (cjne a,#0x01 at 0xF34D, the stub's own first test)",ec/firmware/GMxMGxx_11.800 --at 0x17350 --runtime 0xF350
