scope,addr,name,signature,type,comment,evidence,basis
EcPs2Kbd,0x260,entry,,module-entry,"The module entry point, which Ghidra already calls entry. It copies the qword at [RDX+0x60] to the module global 0x00000ce8 and RDX itself to 0x00000ce0, then calls 0x000004b8 with RCX and RDX untouched and returns without inspecting the result. What the offset 0x60 field or the two globals mean is not decoded here.",bios/ghidra/listings/EcPs2Kbd/00000260.asm; bios/decompiled/EcPs2Kbd.c,hand-decoded
OemACPIDriverDxe,0x260,mem_set_zero_bytes,,copy,"Zeroes count bytes at the destination in the first parameter: count>>3 qwords with rep stosq, then the low three bits of count as single bytes with rep stosb. The destination is saved by the two pushes at entry and popped into RAX, so the original pointer is returned. No other memory or register is touched.",bios/ghidra/listings/OemACPIDriverDxe/00000260.asm; bios/decompiled/OemACPIDriverDxe.c,hand-decoded
OemACPIDriverHookDxe,00000260,cpu_pause,,delay,"A single PAUSE instruction followed by RET. It is the body of the polling loop in the routine at 0x3A4, entered from 0x433 while the port-read difference is still spinning.",bios/ghidra/listings/OemACPIDriverHookDxe/00000260.asm; bios/decompiled/OemACPIDriverHookDxe.c,hand-decoded
OemGlobalNvsDxe,0x260,zero_fill_buffer,,copy,"Zeroes a buffer: takes a destination in RCX and a length in RDX, stores 0x0 with a repeated 8-byte store for the RDX>>3 whole quads, then a repeated byte store for the remaining RDX&7 bytes, and returns the original destination pointer.",bios/ghidra/listings/OemGlobalNvsDxe/00000260.asm; bios/decompiled/OemGlobalNvsDxe.c,hand-decoded
OemHooks,0x260,cpu_pause,,delay,Emits a single PAUSE instruction and returns; it reads and writes no memory and no I/O port.,bios/ghidra/listings/OemHooks/00000260.asm; bios/decompiled/OemHooks.c,hand-decoded
OemKbLightSupportDxe,00000260,cpu_pause,,delay,"A single PAUSE instruction followed by RET. It is the body of the two spin loops that wait on the 24-bit counter at I/O port 0x1808: the one inline at 0x3B3 and the one inside the delay routine at 0x7D0, which calls it at 0x803.",bios/ghidra/listings/OemKbLightSupportDxe/00000260.asm; bios/decompiled/OemKbLightSupportDxe.c,hand-decoded
OemUsbLightBarDxe,00000260,cpu_pause,,delay,"A single PAUSE followed by RET: it reads and writes nothing, leaves the flags alone and returns whatever the caller left in RAX, where the decompiled C shows only a bare return. The one call site in this module is the polling loop at 0x000003BB, which calls it once per iteration between reads of I/O port 0x1808.",bios/ghidra/listings/OemUsbLightBarDxe/00000260.asm; bios/decompiled/OemUsbLightBarDxe.c,hand-decoded
OverclockInterface,0x260,zero_bytes,,copy,"Zero-fills the caller's buffer: stores length>>3 qwords with stosq, then the (length & 7) trailing bytes with stosb, and returns the destination pointer in RAX. The only caller in this module is 0x928, which clears ten bytes of stack scratch; nothing here checks the length against a buffer size.",bios/ghidra/listings/OverclockInterface/00000260.asm; bios/decompiled/OverclockInterface.c,hand-decoded
OemACPIDriverHookDxe,00000270,read_timestamp_counter,,reader,"Executes RDTSC, shifts EDX left by 32 and ORs it into RAX, so RAX holds the 64-bit timestamp counter on return. Both call sites in this module (0x42C and 0x44C in the routine at 0x3A4) discard the value.",bios/ghidra/listings/OemACPIDriverHookDxe/00000270.asm; bios/decompiled/OemACPIDriverHookDxe.c,hand-decoded
OemHooks,0x270,read_tsc,,reader,Executes RDTSC and returns the 64-bit result in RAX (RAX = EDX shifted left 32 ORed with EAX); no memory or I/O access.,bios/ghidra/listings/OemHooks/00000270.asm; bios/decompiled/OemHooks.c,hand-decoded
OemKbLightDxe,0x270,read_tsc64,,reader,"Executes RDTSC, shifts the EDX half left by 32 bits and ORs it into RAX, so the full 64-bit time-stamp counter comes back in RAX; that is the operation the decompiler spells as CONCAT44. No memory or I/O access. Both callers (0x32C at 0x3B4 and 0x3D4) discard the value.",bios/ghidra/listings/OemKbLightDxe/00000270.asm; bios/decompiled/OemKbLightDxe.c,hand-decoded
OemKbLightSupportDxe,00000270,read_timestamp_counter,,reader,"Executes RDTSC, shifts RDX left by 32 and ORs it into RAX, so RAX holds the 64-bit timestamp counter on return. Both call sites in this module (0x3AC and 0x3CC) discard the value. The decompiled C spells the return as a CONCAT44 expression; the listing is just the shift and the OR.",bios/ghidra/listings/OemKbLightSupportDxe/00000270.asm; bios/decompiled/OemKbLightSupportDxe.c,hand-decoded
OemUsbLightBarDxe,00000270,read_timestamp_counter,,reader,"Executes RDTSC, shifts EDX left by 32 and ORs it into RAX, returning the full 64-bit timestamp counter; no serialising instruction precedes it and nothing else is read or written. 0x0000032C calls it twice - once just after its first read of I/O port 0x1808 and once after the polling loop has exited - and discards both results, so in this module it serves only as a serialising instruction. The decompiled C spells the return as a CONCAT44 expression; the listing is just the shift and the OR.",bios/ghidra/listings/OemUsbLightBarDxe/00000270.asm; bios/decompiled/OemUsbLightBarDxe.c,hand-decoded
EcPs2Kbd,0x280,init_register_two_descriptor_chains,,init,"It writes the 12-byte stack record {0x02,0x01,0x0c,0x00, then the qword 0x0a0341d0} at RBP-0x10 and the record {0x01,0x01,0x06,0x00,0x00,0x1f} at RBP+0x30, then calls 0x00000914 four times to build two chains from the first record and two more with the second record appended; only six of the eight bytes of the RBP+0x30 slot are written, so what 0x00000914 reads past them is whatever was on the stack. It then makes four indirect calls through the table at 0x00000cf0: +0x40 with ECX=4, EDX=0x10 and an out-pointer at RBP+0x38, once before each chain, and +0x80 with EDX=0xc20 and then 0xc30 and, in R9, the chain pointer or the freshly written five-qword block at 0xd60 and 0xd20, each preceded by storing the chain and a zero into the 16-byte pair at RBP+0x38. A negative result from the first or third +0x80 call branches to the [0x00000cf0]+0x48 call and returns, a negative result from the second or fourth returns immediately, and the full success path ends with a single-argument call through [0x00000cf0]+0x70 on the incoming RCX. The vtable offsets and the constants at 0xc20, 0xc30, 0xc60, 0xc70, 0x6b8, 0x6c4 and 0x790 are not decoded here.",bios/ghidra/listings/EcPs2Kbd/00000280.asm; bios/decompiled/EcPs2Kbd.c,hand-decoded
OemACPIDriverHookDxe,00000280,enable_interrupts,,state,"STI followed by RET, so it sets the interrupt-enable flag (bit 9) in RFLAGS. The routine at 0x3A4 calls it at 0x455 when the IF bit it had sampled from the routine at 0x2A0 was set.",bios/ghidra/listings/OemACPIDriverHookDxe/00000280.asm; bios/decompiled/OemACPIDriverHookDxe.c,hand-decoded
OemHooks,0x280,enable_interrupts,,state,Executes STI and returns; no memory or I/O access.,bios/ghidra/listings/OemHooks/00000280.asm; bios/decompiled/OemHooks.c,hand-decoded
OemKbLightDxe,0x280,cpu_enable_interrupts,,state,"Executes STI and returns, setting the interrupt-enable flag. Two bytes of code, no memory or I/O access. Its only caller is 0x32C, which picks it over 0x290 using bit 9 of the flags it read through 0x2A0.",bios/ghidra/listings/OemKbLightDxe/00000280.asm; bios/decompiled/OemKbLightDxe.c,hand-decoded
OemKbLightSupportDxe,00000280,sti_enable_interrupts,,logic,Two instructions: STI then RET. Enables interrupts and returns. It is called at 0x3D5 on the one path where the interrupt-enable bit sampled from RFLAGS at 0x38B was already set.,bios/ghidra/listings/OemKbLightSupportDxe/00000280.asm; bios/decompiled/OemKbLightSupportDxe.c,hand-decoded
OemUsbLightBarDxe,00000280,enable_interrupts,,state,"STI then RET, so the only effect is setting the interrupt-enable flag: no register, memory or I/O is touched. 0x0000032C calls it on the branch where the IF bit captured by 0x000002A0 before the port-0x1808 loop was set, putting that flag back after the wait.",bios/ghidra/listings/OemUsbLightBarDxe/00000280.asm; bios/decompiled/OemUsbLightBarDxe.c,hand-decoded
OemACPIDriverHookDxe,00000290,disable_interrupts,,state,"CLI followed by RET, so it clears the interrupt-enable flag in RFLAGS. Called at 0x413 and 0x45C of the routine at 0x3A4: before the port poll, and again on the path that leaves interrupts disabled.",bios/ghidra/listings/OemACPIDriverHookDxe/00000290.asm; bios/decompiled/OemACPIDriverHookDxe.c,hand-decoded
OemHooks,0x290,disable_interrupts,,state,Executes CLI and returns; no memory or I/O access.,bios/ghidra/listings/OemHooks/00000290.asm; bios/decompiled/OemHooks.c,hand-decoded
OemKbLightDxe,0x290,cpu_disable_interrupts,,state,"Executes CLI and returns, clearing the interrupt-enable flag. Two bytes of code, no memory or I/O access. Its only caller is 0x32C, which picks it over 0x280 using bit 9 of the flags it read through 0x2A0.",bios/ghidra/listings/OemKbLightDxe/00000290.asm; bios/decompiled/OemKbLightDxe.c,hand-decoded
OemKbLightSupportDxe,00000290,cli_disable_interrupts,,logic,Two instructions: CLI then RET. Disables interrupts and returns. It is called at 0x393 before the port 0x1808 delay and again at 0x3DC to put the sampled interrupt-enable state back.,bios/ghidra/listings/OemKbLightSupportDxe/00000290.asm; bios/decompiled/OemKbLightSupportDxe.c,hand-decoded
