scope,addr,group,group_basis,comment,evidence
bank0,0EA2,delay-loops,type,the `type` column already names this family,ec/decompiled/bank0/0EA2.asm; ec/decompiled/bank0/0EA2.c
bank0,163C,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/163C.asm; ec/decompiled/bank0/163C.c
bank0,1648,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/1648.asm; ec/decompiled/bank0/1648.c
bank0,164E,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/164E.asm; ec/decompiled/bank0/164E.c
bank0,1654,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/1654.asm; ec/decompiled/bank0/1654.c
bank0,1660,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/1660.asm; ec/decompiled/bank0/1660.c
bank0,1666,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/1666.asm; ec/decompiled/bank0/1666.c
bank0,166C,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/166C.asm; ec/decompiled/bank0/166C.c
bank0,1672,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/1672.asm; ec/decompiled/bank0/1672.c
bank0,1803,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/1803.asm; ec/decompiled/bank0/1803.c
bank0,18AC,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/18AC.asm; ec/decompiled/bank0/18AC.c
bank0,18B2,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/18B2.asm; ec/decompiled/bank0/18B2.c
bank0,18B8,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/18B8.asm; ec/decompiled/bank0/18B8.c
bank0,18BE,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/18BE.asm; ec/decompiled/bank0/18BE.c
bank0,18C4,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/18C4.asm; ec/decompiled/bank0/18C4.c
bank0,1906,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/1906.asm; ec/decompiled/bank0/1906.c
bank0,1936,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/1936.asm; ec/decompiled/bank0/1936.c
bank0,1948,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/1948.asm; ec/decompiled/bank0/1948.c
bank0,194E,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/194E.asm; ec/decompiled/bank0/194E.c
bank0,1954,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/1954.asm; ec/decompiled/bank0/1954.c
bank0,0x1978,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/1978.asm; ec/decompiled/bank0/1978.c
