cluster_id,program,size,refs,addrs,addr_range,functions_touched,shared_functions,callees,named_addrs
main-ec-001,main-ec,108,1136,0x030E 0x030F 0x0314 0x0315 0x0343 0x0344 0x0349 0x0400 0x0401 0x0436 0x0437 0x0438 0x0439 0x0456 0x045A 0x0461 0x0463 0x0469 0x047B 0x04A6 0x04A7 0x0522 0x0523 0x0528 0x0529 0x0670 0x0672 0x0673 0x070A 0x0720 0x072D 0x073C 0x0740 0x0742 0x0743 0x0744 0x0745 0x0746 0x074C 0x074E 0x0751 0x075B 0x075E 0x0768 0x077E 0x077F 0x0783 0x0784 0x0785 0x0786 0x0787 0x0788 0x078B 0x078E 0x07A4 0x07A5 0x07A6 0x07C4 0x07C5 0x07C6 0x07D3 0x07D4 0x07D5 0x0824 0x084C 0x085F 0x086C 0x0873 0x087B 0x0897 0x08AC 0x08BB 0x08BD 0x08C0 0x08C1 0x08C3 0x08C4 0x08C5 0x08C6 0x08C7 0x08C8 0x08C9 0x08CA 0x08CB 0x08E9 0x08EA 0x097A 0x0989 0x098C 0x09C7 0x09C8 0x09C9 0x09CA 0x09E4 0x09E9 0x09EA 0x09EB 0x09EE 0x0D15 0x0F5D 0x0F5E 0x0F5F 0x1063 0x1646 0x1666 0x166A 0x1804 0x1809,0x030E-0x1809,130,bank0:0x95DD=fill_08xx_from_code_table [copy]; bank0:0x96AD=apply_oem_overrides_then_fill_08xx [copy]; bank0:0x8749=mode_tick_084c_07a5_09ee [state]; bank0:0xACB4=FUN_CODE_acb4; bank0:0xB12C=manual_ctrl_profile_gate [gate]; bank0:0xB158=charge_target_update [charge-target]; bank0:0x888D=fan_table_mailbox_handler [dispatch]; bank0:0x8B14=FUN_CODE_8b14; bank0:0x8C46=ramp_1804_1809_toward_0461_0469 [state]; bank0:0x8931=FUN_CODE_8931; bank0:0x9D9B=FUN_CODE_9d9b; bank0:0x98FB=set_0985_bit4 [writer]; bank0:0x9902=clamp_08ac_up_to_08bb [math]; bank0:0xD9FE=FUN_CODE_d9fe; bank0:0x8038=index_table_base [unresolved]; bank0:0x83FF=sync_0788_and_07d4_from_09e9 [state]; bank0:0xB1F0=charge_stress_update [charge-target]; bank0:0x9917=dispatch_on_0a50 [dispatch]; bank0:0xA7C8=FUN_CODE_a7c8; bank1:0xD34B=bump_counter_mirror_to_04a6_04a7 [writer]; bank0:0x8DE0=ramp_1804_toward_0670_and_set_1809 [state]; bank0:0x99ED=copy_08c7_08c8_08c9_into_087x [copy]; bank0:0x9AAD=FUN_CODE_9aad; bank0:0xCCFC=power_on_init_and_two_hang_paths [init]; bank1:0xB88C=FUN_CODE_b88c; bank0:0x8044=ajmp_into_83ff_tail [forwarder]; bank0:0x9334=seed_tcc_defaults_from_ba36 [init]; bank0:0x9CA6=gate_06e6_442_then_sync_046a_from_086b [state]; bank0:0x99A7=clamp_0a53_0a54_down_to_08c4_08c5 [math]; bank1:0xA064=gate_045a_bit0_set_0724_bit4 [logic]; bank1:0xF109=ljmp_f196 [forwarder]; bank1:0xF123=thunk_to_f198 [forwarder]; bank1:0xF196=sjmp_to_f198 [forwarder]; bank1:0xF198=gate_045a_e0_bits_into_047b_0720_097a [writer]; bank0:0x93FE=load_r7_into_a [reader]; bank0:0x93FF=select_table_byte_against_044f [logic]; bank0:0x948D=code_byte_to_0a4a_then_push_r7 [copy]; bank0:0x9A0E=mul_div_08ea_then_sub_044b_selected [math]; bank0:0xA00E=FUN_CODE_a00e; bank0:0xB889=09ee_bit1_edge_drives_0897_countdown [state]; bank1:0xA0CC=set_0724_bit5_when_gates_pass [logic]; bank1:0xA12D=set_0724_bit7_after_06c5_threshold [logic]; bank1:0xA916=clamp_078b_level_into_0804 [state]; bank1:0xF110=ljmp_f246 [forwarder]; bank1:0xF246=if_045a_bit4_set_toggle_047b_10_set_0637_0a [writer]; bank0:0x94AF=store_r7_to_098c_and_0463 [writer]; bank0:0x9C00=clear_09e9_unless_0743_bit2 [state]; bank0:0xA747=stage_0769_076e_convert_to_1803 [state]; bank0:0xAB9E=set_0751_and_07a6_bits [state]; bank0:0xB35E=charge_target_minus_r3_times_0a47 [math]; bank0:0xB4A8=FUN_CODE_b4a8; bank0:0xB5D3=FUN_CODE_b5d3; bank0:0xB737=FUN_CODE_b737; bank0:0xBB22=mov_a_c8 [unresolved]; bank0:0xBB24=store_a_to_1804 [writer]; bank0:0xBBE6=load_dptr_0469 [unresolved]; bank0:0xBC26=copy_0a53_to_0873_and_0a54_to_087b [copy]; bank0:0xBC3F=store_a_then_clear_0824_bit7_and_0768_bit2 [writer]; bank0:0xBD8B=tier_250_eligible [math]; bank0:0xBD98=tier_200_eligible [math]; bank0:0xBE68=x0469_minus_x1809 [math]; bank0:0xD5A6=FUN_CODE_d5a6; bank1:0x8300=clear_and_set_xdata_flag_bits [state]; bank1:0x9416=adjust_0627_index_against_gpu_temp [state]; bank1:0x9F04=dispatch_on_dpl_5b_7b_40 [dispatch]; bank1:0xA1BF=dispatch_045a_bits_to_1a44_1a5c_1a50 [dispatch]; bank1:0xF10D=ljmp_f219 [forwarder]; bank1:0xF1F8=FUN_CODE_f1f8; bank1:0xF219=set_0636_0a_toggle_047b_02_set_097a_02 [writer],bank0:0xB9D8 [13/130]; bank0:0x94D0 [8/130]; bank0:0xB93D [8/130] (+284 more called by the cluster's functions),0x030E 0x030F 0x0400 0x0401 0x0436 0x0437 0x0438 0x0439 0x0456 0x045A 0x04A6 0x04A7 0x0522 0x0523 0x0740 0x0743 0x0744 0x0745 0x0746 0x074E 0x0751 0x075B 0x0768 0x0783 0x0784 0x0785 0x0786 0x07A6 0x07C6
main-ec-002,main-ec,44,248,0x044C 0x045C 0x045E 0x045F 0x0466 0x046A 0x046B 0x046E 0x046F 0x0470 0x0498 0x04FE 0x04FF 0x05F0 0x05F1 0x06D0 0x06F1 0x06F2 0x06F7 0x0781 0x081D 0x0841 0x084E 0x0860 0x0862 0x0865 0x0866 0x0867 0x0868 0x0869 0x086A 0x086B 0x086D 0x086E 0x0872 0x0874 0x087C 0x088A 0x0893 0x09EF 0x1C39 0x1C3A 0x1F01 0x1F07,0x044C-0x1F07,45,bank0:0x9D9B=FUN_CODE_9d9b; bank0:0x9CA6=gate_06e6_442_then_sync_046a_from_086b [state]; bank0:0xD091=dispatch_on_0860 [dispatch]; bank1:0x94FA=magic_55aa_and_0704_countdown [state]; bank0:0xD289=clear_0860 [writer]; bank0:0xD28E=copy_0866_86b_to_1c04_1c3a [copy]; bank1:0x9817=enter_state_0480_05f1_06d9 [state]; bank1:0x94A8=lookup_94a0_table_by_0620_low3 [logic]; bank1:0x976E=clear_0480_bit0_then_step_05f1_countdown [state]; bank1:0x9081=count_down_06e4_and_toggle_06e3 [state]; bank0:0xA00E=FUN_CODE_a00e; bank0:0xBBF2=sub_0866_from_0865 [math]; bank0:0xD065=init_1f01_1f06_1f07 [writer]; bank0:0xD2DA=stage_1c03_1c02_1c01 [writer]; bank0:0xD2EF=FUN_CODE_d2ef; bank0:0xD304=FUN_CODE_d304; bank1:0x90B0=forward_to_90b8 [forwarder]; bank1:0x90B8=step_counter_084e_dispatch [dispatch],bank1:0x1984 [6/45]; bank1:0x19A8 [6/45]; bank1:0x888C [6/45] (+173 more called by the cluster's functions),0x044C 0x045C 0x045E 0x045F
main-ec-003,main-ec,43,4965,0x0460 0x0468 0x055F 0x0621 0x0635 0x0636 0x0637 0x0638 0x0639 0x063A 0x06C2 0x06C3 0x06C5 0x06D1 0x06D2 0x06D6 0x06D8 0x06D9 0x06DA 0x06DB 0x06F3 0x0706 0x070B 0x070D 0x0723 0x07F3 0x07F6 0x0809 0x080C 0x080D 0x0811 0x0843 0x0844 0x085B 0x0890 0x08A7 0x08A8 0x08E4 0x0981 0x0982 0x0985 0x0986 0x09CE,0x0460-0x09CE,126,bank1:0x8001=decrement_nonzero_xdata_counters [writer]; bank1:0x8004=read_06c6 [reader]; bank1:0x8005=skip_06c6_decrement [logic]; bank1:0x8007=dec_06c6_value [math]; bank1:0x8008=FUN_CODE_8008; bank1:0x8009=select_06cd [logic]; bank1:0x800C=read_06cd [reader]; bank1:0x800D=skip_06cd_decrement [logic]; bank1:0x800F=dec_06cd_value [math]; bank1:0x8010=FUN_CODE_8010; bank1:0x8011=select_06d1 [logic]; bank1:0x8014=read_06d1_and_test_zero [reader]; bank1:0x8017=FUN_CODE_8017; bank1:0x8018=store_acc_to_xdata_dptr_8018 [writer]; bank1:0x8019=load_dptr_06d2 [reader]; bank1:0x801C=read_xdata_dptr_801c [reader]; bank1:0x801D=branch_if_acc_zero_to_8021 [gate]; bank1:0x801F=dec_acc_801f [math]; bank1:0x8020=store_acc_to_xdata_dptr_8020 [writer]; bank1:0x8021=load_dptr_06f3 [reader]; bank1:0x8024=read_xdata_dptr_8024 [reader]; bank1:0x8025=branch_if_acc_zero_to_8029 [gate]; bank1:0x8027=dec_acc_8027 [math]; bank1:0x8028=store_acc_and_load_dptr_0635 [writer]; bank1:0x802C=read_xdata_dptr_802c [reader]; bank1:0x802D=branch_if_acc_zero_to_8031 [gate]; bank1:0x802F=dec_acc_802f [math]; bank1:0x8030=store_acc_to_xdata_dptr_8030 [writer]; bank1:0x8031=load_dptr_0636_and_read [reader]; bank1:0x8035=branch_if_acc_zero_to_8039 [gate]; bank1:0x8037=dec_store_and_load_dptr_0637 [writer]; bank1:0x803C=test_and_decrement_0638_after_prior_byte [writer]; bank1:0x8048=store_acc_and_read_0639 [writer]; bank1:0x804D=dec_then_test_063a_with_sign_guard [writer]; bank1:0x8060=branch_if_acc_zero_to_8064 [gate]; bank1:0x8062=dec_store_then_test_and_dec_07f6 [writer]; bank1:0x806C=reload_06d6_with_9_or_return_early [writer]; bank1:0x807E=dec_06c3_and_dec_06d8_gated_on_0440 [writer]; bank1:0x8096=dec_06d9_only_if_both_calls_return_zero [writer]; bank1:0x80AA=dec_timers_06da_08e4_055f_09ce_070b [writer]; bank1:0x80D6=clear_0460_0468_when_0706_reaches_zero [writer]; bank1:0x80EF=dec_timers_and_set_expiry_flags [writer]; bank0:0xA139=FUN_CODE_a139; bank0:0xA1A8=set_state_bytes_then_0xa1c8 [writer]; bank0:0xA00E=FUN_CODE_a00e; bank1:0x9F04=dispatch_on_dpl_5b_7b_40 [dispatch]; bank0:0x8749=mode_tick_084c_07a5_09ee [state]; bank0:0x8B14=FUN_CODE_8b14; bank0:0x8DE0=ramp_1804_toward_0670_and_set_1809 [state]; bank0:0xA1C8=select_code_table_entry_and_store_0872_087a_088a [dispatch]; bank1:0x8DE4=dispatch_on_0490_0495_0496_0498 [dispatch]; bank1:0x976E=clear_0480_bit0_then_step_05f1_countdown [state]; bank1:0x9817=enter_state_0480_05f1_06d9 [state]; bank1:0xA12D=set_0724_bit7_after_06c5_threshold [logic]; bank0:0x888D=fan_table_mailbox_handler [dispatch]; bank0:0x8931=FUN_CODE_8931; bank0:0x95DD=fill_08xx_from_code_table [copy]; bank0:0x96AD=apply_oem_overrides_then_fill_08xx [copy]; bank0:0xA663=gate_0767_06e6_0741_then_dispatch_076f [dispatch]; bank1:0x94A8=lookup_94a0_table_by_0620_low3 [logic]; bank1:0x9FF0=FUN_CODE_9ff0; bank1:0xA916=clamp_078b_level_into_0804 [state],bank1:0x1984 [45/126]; bank1:0x198A [41/126]; bank1:0x88F0 [13/126] (+232 more called by the cluster's functions),
main-ec-004,main-ec,30,312,0x030A 0x030B 0x030C 0x030D 0x0318 0x0319 0x032A 0x032B 0x0347 0x0348 0x0390 0x0391 0x0399 0x03AE 0x03C0 0x0403 0x0495 0x04AA 0x04AB 0x04AC 0x050B 0x050D 0x0512 0x0516 0x0538 0x0539 0x054D 0x0560 0x0683 0x082F,0x030A-0x082F,54,bank1:0xDEE8=FUN_CODE_dee8; bank1:0xDEF1=FUN_CODE_def1; bank1:0xDB0B=FUN_CODE_db0b; bank1:0xAD85=forwarder_to_b33b [forwarder]; bank1:0xB33B=FUN_CODE_b33b; bank1:0xB407=forwarder_to_b40e [forwarder]; bank1:0xB40E=cmp_dptr_to_r2r1 [math]; bank1:0xB415=bump_counter_054d [state]; bank1:0xB41C=store_054d_set_bit_on_10 [state]; bank1:0xB43B=FUN_CODE_b43b; bank1:0xE100=FUN_CODE_e100; bank1:0xBE10=FUN_CODE_be10; bank1:0x9354=gate_030a_030b_then_8892_887a [gate]; bank1:0xA24E=FUN_CODE_a24e; bank1:0xAD82=forwarder_to_b2d5 [forwarder]; bank1:0xB2D5=copy_0514_0516_to_04ab_04ac_then_probe [logic]; bank1:0xBD45=FUN_CODE_bd45; bank1:0xCBF3=publish_0514_and_0342_product [writer]; bank1:0xE237=gate_1c00_init_defaults [gate]; bank0:0xA139=FUN_CODE_a139; bank0:0xA1A8=set_state_bytes_then_0xa1c8 [writer]; bank0:0xA1C8=select_code_table_entry_and_store_0872_087a_088a [dispatch]; bank1:0x8BD1=select_probe_address_and_return_carry [logic]; bank1:0x8DE4=dispatch_on_0490_0495_0496_0498 [dispatch]; bank1:0x92F7=write_057b_057c_057d_and_call_888c [logic]; bank1:0xB0D1=step_index_056b_update_0495_0493 [state]; bank1:0xBABF=stage_0577_against_0834_0836 [logic]; bank1:0xBE91=pick_0f80_0800_0bb0_1800_1f00 [dispatch]; bank1:0xC700=setup_state_and_copy_30_byte_table [init]; bank1:0xD0C4=update_0524_0526_4a0_and_0497_flags [state]; bank1:0xD61A=FUN_CODE_d61a; bank1:0xD6C6=FUN_CODE_d6c6; bank1:0xD6D7=FUN_CODE_d6d7; bank1:0xE1D7=counter_tick_03ae_0560 [logic],bank1:0x888C [21/54]; bank1:0x8886 [20/54]; bank1:0x8892 [18/54] (+138 more called by the cluster's functions),0x0403
main-ec-005,main-ec,17,70,0x0382 0x0383 0x0388 0x0389 0x038A 0x038B 0x038C 0x038D 0x038E 0x038F 0x03A5 0x03B0 0x03B1 0x03B2 0x03B3 0x03B4 0x03C9,0x0382-0x03C9,4,bank1:0xD6EE=FUN_CODE_d6ee; bank1:0xC979=mul_0342_0514_into_0388_when_03d0_lt_0384 [math]; bank1:0xD946=FUN_CODE_d946,bank1:0x8886 [2/4]; bank1:0x8898 [2/4]; bank1:0x198A [2/4] (+23 more called by the cluster's functions),
main-ec-006,main-ec,16,94,0x043E 0x0820 0x0821 0x0822 0x163E 0x16F1 0x3000 0x3001 0x3002 0x3003 0x3004 0x3005 0x3006 0x3007 0x3008 0x300E,0x043E-0x300E,22,bank1:0x9B3C=FUN_CODE_9b3c; bank1:0x9C53=FUN_CODE_9c53; bank0:0xDE83=FUN_CODE_de83; bank0:0xDE65=init_163e_16f1_300e_3008 [init],bank0:0xBC5F [4/22]; bank0:0xBBE6 [4/22]; bank0:0xBEAA [4/22] (+72 more called by the cluster's functions),0x043E
main-ec-007,main-ec,12,280,0x0045 0x0083 0x0084 0x009F 0x103B 0x103C 0x103D 0x103E 0x103F 0x1500 0x1501 0x1504,0x0045-0x1504,31,bank0:0xF566=ff_filler_not_a_function_f566 [unresolved]; bank0:0xF583=ff_filler_not_a_function_f583 [unresolved]; bank0:0xFAE8=ff_filler_not_a_function_fae8 [unresolved]; bank0:0xFE0F=poll_1304_1500_dispatch_0083 [state]; bank0:0xD5D4=write_33_to_1501_join_loop_d5db [writer]; bank0:0xD5DB=FUN_CODE_d5db; bank0:0xD74F=write_33_to_1511_then_loop [writer]; bank0:0xD757=FUN_CODE_d757; common:0x0200=FUN_CODE_0200; common:0x0213=FUN_CODE_0213; bank0:0xE256=dispatch_on_0046_copy_status_to_0083 [dispatch]; common:0x4B77=FUN_CODE_4b77; bank0:0xF141=store_r1_r5_r3_to_103d_103c_103b [writer]; bank0:0xE3D0=write_103f_through_0a56_pointer [writer]; common:0x0806=FUN_CODE_0806; common:0x0D7B=FUN_CODE_0d7b,common:0x0200 [7/31]; common:0x05EF [3/31]; common:0x0937 [3/31] (+60 more called by the cluster's functions),
main-ec-008,main-ec,12,107,0x0A43 0x0A44 0x0A45 0x0A46 0x0F82 0x0F83 0x0FB1 0x0FB2 0x0FB3 0x0FB4 0x0FC0 0x0FC3,0x0A43-0x0FC3,8,bank0:0xEFDC=call_ef17_then_copy_0f80_to_0fb1 [copy]; bank0:0xEFF0=store_dptr_byte_to_0fb2_copy_0f82 [copy]; bank0:0xF002=FUN_CODE_f002; bank0:0xF012=store_16bit_sum_to_0a43_0a44 [math]; bank0:0xF022=rotate_16bit_pair_and_range_check_0fc3 [logic]; bank0:0xF06B=clear_0fc3_bit0_and_zero_0fc0 [writer],bank0:0xF077 [3/8]; bank0:0xEE96 [1/8]; bank0:0xEF17 [1/8] (+1 more called by the cluster's functions),
main-ec-009,main-ec,12,40,0x049A 0x049B 0x049C 0x049D 0x049E 0x04B1 0x04BD 0x04BE 0x04BF 0x0579 0x057A 0x05B9,0x049A-0x05B9,8,bank1:0xB962=clear_049a_049e_0579_057a_05c2 [writer]; bank1:0xC0A8=FUN_CODE_c0a8; bank1:0xC11C=latch_0490_bit3_or_bit7 [state]; bank1:0x8D25=combine_0490_0495_049d_flags_into_carry [logic]; bank1:0x8E91=dispatch_on_049d_049e_05e0 [dispatch]; bank1:0xBF0E=pick_0800_or_0bb0_by_05b9 [dispatch],bank1:0x888C [2/8]; bank1:0x8863 [2/8]; bank1:0x19A8 [1/8] (+10 more called by the cluster's functions),
main-ec-010,main-ec,12,35,0x00C0 0x00C1 0x0200 0x0202 0x0203 0x0FA0 0x0FC1 0x0FC2 0x2272 0x2273 0x2274 0x2275,0x00C0-0x2275,10,bank0:0xEADA=FUN_CODE_eada; bank0:0xB9A4=copy_direct_65_66_to_x00c0 [copy]; bank0:0xBE52=copy_x00c0_pair_to_iram_67_68 [copy],bank0:0xE6F4 [4/10]; bank0:0xE7BB [4/10]; bank0:0xE453 [4/10] (+27 more called by the cluster's functions),
